user_descriptions/search/search_8.txt;idealo: Find Latest Deals
user_descriptions/search/search_9_check24.txt;idealo: Find Latest Deals
user_descriptions/whatsapp/whatsapp_1.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_2.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_3.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_4.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_5.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_6.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_7.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_8.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_9.txt;WhatsApp Messenger
user_descriptions/whatsapp/whatsapp_10.txt;WhatsApp Messenger
user_descriptions/writing/writing_1_OneNote.txt;Microsoft OneNote: Save Ideas and Organize Notes
user_descriptions/writing/writing_2_Goodnotes.txt;Noteshelf: Take Notes | Handwriting | Annotate PDF
user_descriptions/writing/writing_3_Goodnotes.txt;Noteshelf: Take Notes | Handwriting | Annotate PDF
user_descriptions/writing/writing_4_OneNote.txt;Microsoft OneNote: Save Ideas and Organize Notes
user_descriptions/writing/writing_5_Goodnotes.txt;Noteshelf: Take Notes | Handwriting | Annotate PDF
user_descriptions/writing/writing_6_OneNote.txt;Microsoft OneNote: Save Ideas and Organize Notes
user_descriptions/writing/writing_7_OneNote.txt;Microsoft OneNote: Save Ideas and Organize Notes
user_descriptions/writing/writing_8_Goodnotes.txt;Noteshelf: Take Notes | Handwriting | Annotate PDF
user_descriptions/youtube/youtube_1.txt;YouTube
user_descriptions/youtube/youtube_2.txt;YouTube
user_descriptions/youtube/youtube_3.txt;YouTube
user_descriptions/youtube/youtube_4.txt;YouTube
user_descriptions/youtube/youtube_5.txt;YouTube
user_descriptions/youtube/youtube_6.txt;YouTube
user_descriptions/youtube/youtube_7.txt;YouTube
user_descriptions/youtube/youtube_8.txt;YouTube
user_descriptions/youtube/youtube_9.txt;YouTube
user_descriptions/youtube/youtube_10.txt;YouTube
